SKU OG,SKU AC
brand14 sub_brand5 BOTELLA RETORNABLE 330.0,ANDINA LIGHT BOTELLA RETORNABLE 330.0
brand19 sub_brand14 LATA NO RETORNABLE 500.0,ERDINGER DUNKEL LATA NO RETORNABLE 500.0
brand11 sub_brand2 BARRIL NO RETORNABLE 5000.0,BITBURGER T. BARRIL NO RETORNABLE 5000.0
brand63 sub_brand2 BOTELLA NO RETORNABLE 330.0,ASAHI T. BOTELLA NO RETORNABLE 330.0
brand20 sub_brand3 BOTELLA RETORNABLE 250.0,HEINEKEN CTE BOTELLA RETORNABLE 250.0
brand16 sub_brand5 BOTELLA RETORNABLE 1000.0,AGUILA LIGHT BOTELLA RETORNABLE 1000.0
brand12 sub_brand3 BOTELLA RETORNABLE 300.0,POKER CTE BOTELLA RETORNABLE 300.0
brand23 sub_brand2 BOTELLA NO RETORNABLE 330.0,MAREDSOUS T. BOTELLA NO RETORNABLE 330.0
brand1 sub_brand33 LATA NO RETORNABLE 330.0,CLUB COLOMBIA TRIGO LATA NO RETORNABLE 330.0
brand42 sub_brand5 LATA NO RETORNABLE 330.0,BUSCH LIGHT LATA NO RETORNABLE 330.0
brand26 sub_brand9 BOTELLA NO RETORNABLE 330.0,CORONA EXTRA BOTELLA NO RETORNABLE 330.0
brand12 sub_brand3 OTROS ENVASES NO RETORNABLE 330.0,POKER CTE OTROS ENVASES NO RETORNABLE 330.0
brand20 sub_brand3 BOTELLA NO RETORNABLE 250.0,HEINEKEN CTE BOTELLA NO RETORNABLE 250.0
brand45 sub_brand2 BOTELLA RETORNABLE 250.0,BUDWEISER T. BOTELLA RETORNABLE 250.0
brand1 sub_brand42 LATA NO RETORNABLE 269.0,CLUB COLOMBIA JUAN VALDEZ LATA NO RETORNABLE 269.0
brand17 sub_brand3 LATA NO RETORNABLE 269.0,SOL CTE LATA NO RETORNABLE 269.0
brand57 sub_brand25 LATA NO RETORNABLE 310.0,MILLER LITE LATA NO RETORNABLE 310.0
brand35 sub_brand2 BOTELLA RETORNABLE 330.0,CENTRAL T. BOTELLA RETORNABLE 330.0
brand22 sub_brand2 BOTELLA NO RETORNABLE 330.0,3 CORDILLERAS T. BOTELLA NO RETORNABLE 330.0
brand46 sub_brand2 LATA NO RETORNABLE null.0,OTRAS MARCAS T. LATA NO RETORNABLE null.0
brand2 sub_brand2 BOTELLA NO RETORNABLE 500.0,BALTIKA T. BOTELLA NO RETORNABLE 500.0
brand16 sub_brand3 BOTELLA NO RETORNABLE 330.0,AGUILA CTE BOTELLA NO RETORNABLE 330.0
brand1 sub_brand33 BOTELLA RETORNABLE 330.0,CLUB COLOMBIA TRIGO BOTELLA RETORNABLE 330.0
brand22 sub_brand13 BOTELLA NO RETORNABLE 330.0,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 330.0
brand81 sub_brand3 LATA NO RETORNABLE 269.0,MICHELOB ULTRA CTE LATA NO RETORNABLE 269.0
brand1 sub_brand34 BOTELLA RETORNABLE null.0,CLUB COLOMBIA GRAN DORADA BOTELLA RETORNABLE null.0
brand19 sub_brand3 BOTELLA NO RETORNABLE 330.0,ERDINGER CTE BOTELLA NO RETORNABLE 330.0
brand16 sub_brand5 BOTELLA NO RETORNABLE 330.0,AGUILA LIGHT BOTELLA NO RETORNABLE 330.0
brand16 sub_brand3 BOTELLA RETORNABLE 750.0,AGUILA CTE BOTELLA RETORNABLE 750.0
brand61 sub_brand3 LATA NO RETORNABLE 355.0,BECK'S CTE LATA NO RETORNABLE 355.0
brand22 sub_brand7 BOTELLA NO RETORNABLE 330.0,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0
brand33 sub_brand3 LATA NO RETORNABLE 330.0,TECATE CTE LATA NO RETORNABLE 330.0
brand16 sub_brand5 LATA NO RETORNABLE 296.0,AGUILA LIGHT LATA NO RETORNABLE 296.0
brand46 sub_brand2 BOTELLA RETORNABLE 330.0,OTRAS MARCAS T. BOTELLA RETORNABLE 330.0
brand51 sub_brand40 LATA NO RETORNABLE 269.0,REDD'S ROSE LATA NO RETORNABLE 269.0
brand44 sub_brand15 LATA NO RETORNABLE 330.0,AUSTEN OTRAS LATA NO RETORNABLE 330.0
brand9 sub_brand2 BOTELLA NO RETORNABLE 330.0,HOLLANDIA T. BOTELLA NO RETORNABLE 330.0
brand66 sub_brand2 LATA NO RETORNABLE 500.0,8.6 T. LATA NO RETORNABLE 500.0
brand46 sub_brand3 LATA NO RETORNABLE 330.0,OTRAS MARCAS CTE LATA NO RETORNABLE 330.0
brand45 sub_brand2 BOTELLA RETORNABLE 330.0,BUDWEISER T. BOTELLA RETORNABLE 330.0
brand36 sub_brand3 LATA NO RETORNABLE 330.0,BAHIA CTE LATA NO RETORNABLE 330.0
brand14 sub_brand3 BOTELLA RETORNABLE 250.0,ANDINA CTE BOTELLA RETORNABLE 250.0
brand26 sub_brand9 LATA NO RETORNABLE 269.0,CORONA EXTRA LATA NO RETORNABLE 269.0
brand7 sub_brand29 BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY LAGER BOTELLA NO RETORNABLE 330.0
brand67 sub_brand2 BOTELLA NO RETORNABLE 330.0,LINO BREWING T. BOTELLA NO RETORNABLE 330.0
brand59 sub_brand2 BOTELLA NO RETORNABLE 500.0,HOFBRAU T. BOTELLA NO RETORNABLE 500.0
brand62 sub_brand2 BOTELLA NO RETORNABLE 330.0,INNIS & GUNN T. BOTELLA NO RETORNABLE 330.0
brand46 sub_brand37 LATA NO RETORNABLE 500.0,OTRAS MARCAS ESPECIAL LATA NO RETORNABLE 500.0
brand14 sub_brand3 LATA NO RETORNABLE 355.0,ANDINA CTE LATA NO RETORNABLE 355.0
brand12 sub_brand26 LATA NO RETORNABLE 330.0,POKER ROJA LATA NO RETORNABLE 330.0
brand14 sub_brand3 BOTELLA NO RETORNABLE 300.0,ANDINA CTE BOTELLA NO RETORNABLE 300.0
brand29 sub_brand2 LATA NO RETORNABLE 330.0,MONARCA T. LATA NO RETORNABLE 330.0
brand47 sub_brand2 BOTELLA NO RETORNABLE 330.0,CHELARTE T. BOTELLA NO RETORNABLE 330.0
brand16 sub_brand30 BOTELLA RETORNABLE 175.0,AGUILA FUSION BOTELLA RETORNABLE 175.0
brand3 sub_brand3 BOTELLA RETORNABLE 350.0,COSTENA CTE BOTELLA RETORNABLE 350.0
brand87 sub_brand3 LATA NO RETORNABLE 269.0,HE150KEN CTE LATA NO RETORNABLE 269.0
brand1 sub_brand43 BOTELLA RETORNABLE 330.0,CLUB COLOMBIA SIEMBRA BOTELLA RETORNABLE 330.0
brand61 sub_brand3 LATA NO RETORNABLE 269.0,BECK'S CTE LATA NO RETORNABLE 269.0
brand14 sub_brand5 LATA NO RETORNABLE null.0,ANDINA LIGHT LATA NO RETORNABLE null.0
brand1 sub_brand1 BOTELLA NO RETORNABLE 900.0,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 900.0
brand16 sub_brand5 LATA NO RETORNABLE 300.0,AGUILA LIGHT LATA NO RETORNABLE 300.0
brand21 sub_brand8 BOTELLA NO RETORNABLE 330.0,GROLSCH PREMIUM BOTELLA NO RETORNABLE 330.0
brand16 sub_brand30 BOTELLA RETORNABLE 330.0,AGUILA FUSION BOTELLA RETORNABLE 330.0
brand14 sub_brand3 BOTELLA NO RETORNABLE 250.0,ANDINA CTE BOTELLA NO RETORNABLE 250.0
brand20 sub_brand3 BOTELLA RETORNABLE 330.0,HEINEKEN CTE BOTELLA RETORNABLE 330.0
brand10 sub_brand2 BOTELLA NO RETORNABLE 330.0,ELVIS JUICE T. BOTELLA NO RETORNABLE 330.0
brand12 sub_brand16 BOTELLA RETORNABLE 330.0,POKER PURA MALTA BOTELLA RETORNABLE 330.0
brand32 sub_brand2 BOTELLA RETORNABLE 250.0,NATIVA T. BOTELLA RETORNABLE 250.0
brand53 sub_brand2 BOTELLA NO RETORNABLE 330.0,LIEFMANS T. BOTELLA NO RETORNABLE 330.0
brand82 sub_brand3 LATA NO RETORNABLE 269.0,COLA & POLA CTE LATA NO RETORNABLE 269.0
brand89 sub_brand3 BOTELLA NO RETORNABLE 200.0,ANDINA COLOMBIANA CTE BOTELLA NO RETORNABLE 200.0
brand16 sub_brand6 BOTELLA NO RETORNABLE 330.0,AGUILA CERO BOTELLA NO RETORNABLE 330.0
brand1 sub_brand26 LATA NO RETORNABLE 355.0,CLUB COLOMBIA ROJA LATA NO RETORNABLE 355.0
brand7 sub_brand38 BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY CANDELARIA BOTELLA NO RETORNABLE 330.0
brand7 sub_brand15 BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY OTRAS BOTELLA NO RETORNABLE 330.0
brand20 sub_brand3 BARRIL NO RETORNABLE 5000.0,HEINEKEN CTE BARRIL NO RETORNABLE 5000.0
brand49 sub_brand2 BOTELLA NO RETORNABLE 330.0,TRES GUERREROS T. BOTELLA NO RETORNABLE 330.0
brand6 sub_brand2 BOTELLA NO RETORNABLE 330.0,STOWFORD T. BOTELLA NO RETORNABLE 330.0
brand20 sub_brand3 BOTELLA NO RETORNABLE 650.0,HEINEKEN CTE BOTELLA NO RETORNABLE 650.0
brand4 sub_brand2 LATA NO RETORNABLE 500.0,BENEDIKTINER T. LATA NO RETORNABLE 500.0
brand4 sub_brand2 BOTELLA NO RETORNABLE 500.0,BENEDIKTINER T. BOTELLA NO RETORNABLE 500.0
brand16 sub_brand5 BOTELLA NO RETORNABLE 200.0,AGUILA LIGHT BOTELLA NO RETORNABLE 200.0
brand20 sub_brand3 BARRIL NO RETORNABLE null.0,HEINEKEN CTE BARRIL NO RETORNABLE null.0
brand12 sub_brand3 BOTELLA NO RETORNABLE 300.0,POKER CTE BOTELLA NO RETORNABLE 300.0
brand16 sub_brand5 BOTELLA NO RETORNABLE 300.0,AGUILA LIGHT BOTELLA NO RETORNABLE 300.0
brand29 sub_brand2 BOTELLA NO RETORNABLE 330.0,MONARCA T. BOTELLA NO RETORNABLE 330.0
brand45 sub_brand2 BOTELLA NO RETORNABLE null.0,BUDWEISER T. BOTELLA NO RETORNABLE null.0
brand2 sub_brand2 BOTELLA NO RETORNABLE null.0,BALTIKA T. BOTELLA NO RETORNABLE null.0
brand12 sub_brand26 LATA NO RETORNABLE 355.0,POKER ROJA LATA NO RETORNABLE 355.0
brand46 sub_brand2 BOTELLA NO RETORNABLE 750.0,OTRAS MARCAS T. BOTELLA NO RETORNABLE 750.0
brand21 sub_brand8 BOTELLA NO RETORNABLE 450.0,GROLSCH PREMIUM BOTELLA NO RETORNABLE 450.0
brand96 sub_brand2 BOTELLA NO RETORNABLE 330.0,WARSTEINER T. BOTELLA NO RETORNABLE 330.0
brand61 sub_brand3 BOTELLA RETORNABLE 275.0,BECK'S CTE BOTELLA RETORNABLE 275.0
brand1 sub_brand10 BOTELLA NO RETORNABLE 330.0,CLUB COLOMBIA DOBLE MALTA BOTELLA NO RETORNABLE 330.0
brand3 sub_brand3 LATA NO RETORNABLE 296.0,COSTENA CTE LATA NO RETORNABLE 296.0
brand33 sub_brand3 LATA NO RETORNABLE 473.0,TECATE CTE LATA NO RETORNABLE 473.0
